order_id,customer_state,seller_state,product_category,price,freight_value,n_items,distance_km,purchase_dow,purchase_month,days_to_next_holiday,is_near_holiday,state_gdp,state_urbanization,review_score,is_late
ord_000127,SP,PR,furniture_decor,98.19,32.0,3,1466.0,5,5,24,0,58000,0.96,2,0
ord_000128,SP,RS,toys,120.38,16.38,2,1080.0,2,10,16,0,58000,0.96,4,0
ord_000129,RS,RJ,furniture_decor,215.55,38.99,1,2358.0,4,3,2,1,41000,0.85,5,1
ord_000130,SP,PR,bed_bath_table,140.1,9.94,2,1945.0,3,10,20,0,58000,0.96,5,0
ord_000131,PE,PE,auto,180.43,65.02,1,245.0,2,7,5,1,20000,0.8,5,0
ord_000132,RS,DF,computers_accessories,52.44,5.16,2,2502.0,2,10,26,0,41000,0.85,4,0
ord_000133,RJ,DF,health_beauty,35.2,3.02,1,1269.0,5,4,15,0,46000,0.97,5,0
ord_000134,RS,SP,sports_leisure,262.31,57.78,1,2892.0,5,6,4,1,41000,0.85,5,0
ord_000135,SP,RJ,garden_tools,176.19,47.9,2,2705.0,6,3,8,0,58000,0.96,5,0
ord_000136,CE,MG,furniture_decor,150.84,37.18,1,1100.0,2,6,12,0,18000,0.75,1,0
ord_000137,MG,SP,sports_leisure,126.41,29.5,2,1040.0,3,8,28,0,32000,0.85,2,0
ord_000138,BA,BA,computers_accessories,96.92,21.74,3,213.0,0,7,19,0,21000,0.72,5,0
ord_000139,SP,SP,bed_bath_table,54.18,6.56,1,184.0,5,3,2,1,58000,0.96,5,0
ord_000140,MG,SP,housewares,52.63,11.1,3,679.0,1,9,15,0,32000,0.85,5,1
ord_000141,MG,SP,bed_bath_table,34.55,2.78,1,1217.0,4,7,9,0,32000,0.85,3,1
ord_000142,CE,SP,garden_tools,24.94,30.74,2,2211.0,6,7,23,0,18000,0.75,4,1
ord_000143,MG,SP,computers_accessories,45.21,10.25,2,397.0,5,1,0,1,32000,0.85,5,0
ord_000144,MG,RS,sports_leisure,72.03,10.4,3,462.0,5,5,26,0,32000,0.85,4,0
ord_000145,SP,RS,computers_accessories,260.95,21.76,3,2510.0,4,9,0,1,58000,0.96,5,0
ord_000146,SP,SP,health_beauty,23.87,3.96,1,229.0,6,5,16,0,58000,0.96,4,0
ord_000147,MG,SP,furniture_decor,106.73,63.05,2,1917.0,4,1,2,1,32000,0.85,3,0
ord_000148,RJ,DF,health_beauty,278.28,62.09,3,1022.0,4,4,11,0,46000,0.97,5,0
ord_000149,SP,SP,watches_gifts,203.52,25.61,1,325.0,0,9,12,0,58000,0.96,3,0
ord_000150,DF,MG,auto,98.58,32.31,2,1881.0,4,3,18,0,88000,0.97,5,0
ord_000151,GO,MG,computers_accessories,55.71,10.42,3,1500.0,0,2,10,0,29000,0.9,4,0
ord_000152,SP,MG,bed_bath_table,13.2,1.32,1,3097.0,2,9,27,0,58000,0.96,5,0
ord_000153,MG,GO,bed_bath_table,109.17,10.76,1,443.0,2,9,12,0,32000,0.85,5,0
ord_000154,SP,RS,garden_tools,160.33,55.54,1,1503.0,2,8,26,0,58000,0.96,5,0
ord_000155,PR,PA,furniture_decor,56.85,32.18,2,2787.0,5,1,10,0,43000,0.85,5,0
ord_000156,SP,GO,sports_leisure,213.41,29.42,1,898.0,4,4,20,0,58000,0.96,5,0
ord_000157,PR,SP,health_beauty,89.84,17.52,1,3011.0,0,4,2,1,43000,0.85,4,0
ord_000158,SC,SP,watches_gifts,122.77,8.78,1,1534.0,2,5,10,0,44000,0.84,3,0
ord_000159,BA,RJ,bed_bath_table,98.71,13.34,3,754.0,0,9,18,0,21000,0.72,5,0
ord_000160,SP,RJ,auto,211.45,67.21,2,570.0,5,11,10,0,58000,0.96,4,0
ord_000161,PE,MG,sports_leisure,216.1,34.36,1,1249.0,1,8,9,0,20000,0.8,4,0
ord_000162,SP,SP,bed_bath_table,143.94,29.88,2,157.0,2,2,13,0,58000,0.96,4,0
ord_000163,SP,SP,toys,78.13,17.85,2,270.0,6,4,16,0,58000,0.96,5,0
ord_000164,MG,RJ,furniture_decor,95.82,38.41,1,1933.0,5,2,13,0,32000,0.85,5,0
ord_000165,RJ,PR,watches_gifts,385.37,89.3,1,643.0,6,6,24,0,46000,0.97,1,0
ord_000166,DF,PR,bed_bath_table,289.3,65.69,1,1624.0,2,3,17,0,88000,0.97,5,0
ord_000167,DF,PA,garden_tools,102.66,29.98,1,1512.0,2,4,27,0,88000,0.97,5,1
ord_000168,SP,SP,furniture_decor,36.62,40.05,2,206.0,3,6,6,0,58000,0.96,3,0
ord_000169,CE,RJ,toys,187.97,28.77,1,520.0,4,1,26,0,18000,0.75,5,0
ord_000170,SP,PA,auto,67.05,49.62,1,1407.0,6,8,9,0,58000,0.96,5,0
ord_000171,MG,PR,housewares,252.53,50.41,3,1378.0,4,7,10,0,32000,0.85,5,0
ord_000172,SP,RS,furniture_decor,56.3,51.65,1,2342.0,6,6,24,0,58000,0.96,5,0
ord_000173,CE,MG,furniture_decor,67.74,45.07,1,1443.0,0,12,5,1,18000,0.75,4,0
ord_000174,SP,SP,watches_gifts,32.99,6.51,2,199.0,6,5,26,0,58000,0.96,3,0
ord_000175,SP,GO,bed_bath_table,324.9,17.15,1,358.0,2,7,16,0,58000,0.96,5,0
ord_000176,RJ,RS,health_beauty,43.51,10.2,1,2294.0,1,7,17,0,46000,0.97,5,0
ord_000177,MA,MG,watches_gifts,177.57,15.94,1,2216.0,1,5,26,0,14000,0.63,5,0
ord_000178,GO,MG,bed_bath_table,85.72,10.69,1,765.0,2,12,16,0,29000,0.9,5,0
ord_000179,SC,RJ,sports_leisure,68.59,14.99,1,2812.0,2,6,24,0,44000,0.84,5,0
ord_000180,GO,SP,watches_gifts,65.36,9.51,1,2222.0,0,12,7,0,29000,0.9,3,1
ord_000181,GO,BA,sports_leisure,248.97,45.5,1,747.0,1,9,13,0,29000,0.9,5,0
ord_000182,MG,MG,auto,531.96,84.35,2,311.0,3,12,6,0,32000,0.85,4,0
ord_000183,SP,SP,auto,230.59,79.98,1,317.0,0,2,23,0,58000,0.96,5,0
ord_000184,BA,RJ,bed_bath_table,17.35,3.8,1,1482.0,1,8,27,0,21000,0.72,5,0
ord_000185,PR,PE,health_beauty,178.19,40.72,2,987.0,6,6,5,1,43000,0.85,3,0
ord_000186,RJ,RJ,auto,86.25,31.85,2,56.0,6,6,27,0,46000,0.97,4,0
ord_000187,SP,RJ,bed_bath_table,90.46,17.55,1,896.0,3,3,0,1,58000,0.96,4,0
ord_000188,SC,RS,computers_accessories,115.62,16.58,1,2596.0,3,10,23,0,44000,0.84,4,0
ord_000189,SP,DF,auto,99.5,46.3,2,2603.0,1,8,27,0,58000,0.96,1,1
ord_000190,CE,PR,housewares,144.26,28.2,3,2622.0,6,6,23,0,18000,0.75,1,0
ord_000191,SP,ES,furniture_decor,83.13,51.85,2,2090.0,1,12,28,0,58000,0.96,4,0
ord_000192,SP,SP,bed_bath_table,191.22,28.61,1,238.0,1,6,26,0,58000,0.96,3,0
ord_000193,DF,PE,furniture_decor,105.26,49.35,1,1232.0,0,3,21,0,88000,0.97,5,0
ord_000194,SP,PE,housewares,106.94,25.47,3,2849.0,6,7,5,1,58000,0.96,4,1
ord_000195,SP,MG,bed_bath_table,98.08,9.91,1,718.0,2,5,10,0,58000,0.96,5,0
ord_000196,RS,RS,housewares,177.74,15.33,1,153.0,2,6,5,1,41000,0.85,4,0
ord_000197,GO,SP,computers_accessories,72.33,10.16,2,3179.0,0,4,2,1,29000,0.9,1,1
ord_000198,SP,RJ,furniture_decor,144.6,72.95,2,3085.0,2,7,14,0,58000,0.96,1,1
ord_000199,SP,SP,auto,109.36,59.61,3,259.0,1,5,1,1,58000,0.96,5,0
ord_000200,BA,SP,garden_tools,251.63,50.07,1,1747.0,6,11,5,1,21000,0.72,1,1
ord_000201,PA,AM,watches_gifts,76.17,7.84,2,639.0,3,6,0,1,19000,0.68,3,1
ord_000202,MG,SP,housewares,194.03,18.85,1,2213.0,1,1,23,0,32000,0.85,3,1
ord_000203,SP,RS,computers_accessories,126.49,21.58,2,390.0,4,10,8,0,58000,0.96,4,0
ord_000204,SP,SP,bed_bath_table,238.71,57.63,2,224.0,1,7,25,0,58000,0.96,5,0
ord_000205,SP,RJ,furniture_decor,106.61,64.35,1,1513.0,5,7,8,0,58000,0.96,5,0
ord_000206,SP,RJ,bed_bath_table,70.31,10.61,3,2893.0,6,2,17,0,58000,0.96,4,0
ord_000207,PR,SP,furniture_decor,69.76,41.91,1,3109.0,0,7,7,0,43000,0.85,3,0
ord_000208,SP,RS,computers_accessories,117.68,15.2,1,3125.0,3,10,17,0,58000,0.96,5,0
ord_000209,MG,PA,watches_gifts,100.01,21.13,1,2617.0,1,1,26,0,32000,0.85,4,0
ord_000210,PR,RJ,furniture_decor,73.94,42.19,1,1141.0,5,7,11,0,43000,0.85,5,0
ord_000211,RS,PA,sports_leisure,119.62,6.97,1,432.0,0,1,5,1,41000,0.85,3,0
ord_000212,SP,PR,toys,6.4,0.42,3,1534.0,2,2,7,0,58000,0.96,2,0
ord_000213,DF,RS,health_beauty,87.07,12.74,1,1162.0,2,11,3,1,88000,0.97,4,0
ord_000214,SC,SP,health_beauty,102.52,16.04,1,2200.0,3,7,21,0,44000,0.84,4,0
ord_000215,SC,SP,watches_gifts,21.66,5.24,1,1376.0,1,10,12,0,44000,0.84,4,0
ord_000216,SP,ES,housewares,41.06,3.21,2,2883.0,0,4,14,0,58000,0.96,4,0
ord_000217,SP,MG,garden_tools,43.55,54.16,2,1385.0,1,2,23,0,58000,0.96,5,0
ord_000218,PE,RJ,toys,95.84,21.96,2,1396.0,4,2,16,0,20000,0.8,2,0
ord_000219,RJ,DF,auto,82.11,26.0,3,2501.0,6,11,14,0,46000,0.97,5,0
ord_000220,SP,SP,watches_gifts,83.02,6.84,3,33.0,6,11,3,1,58000,0.96,4,0
ord_000221,MG,BA,garden_tools,22.02,40.51,1,1040.0,4,12,19,0,32000,0.85,4,0
ord_000222,PR,SP,health_beauty,206.21,37.65,2,2262.0,0,7,11,0,43000,0.85,4,0
ord_000223,CE,PE,housewares,244.35,15.63,1,1933.0,6,9,19,0,18000,0.75,5,0
ord_000224,SP,SP,auto,28.7,41.65,1,310.0,6,3,1,1,58000,0.96,2,1
ord_000225,PE,SP,toys,78.6,15.82,1,1655.0,3,6,4,1,20000,0.8,5,0
ord_000226,SP,PR,computers_accessories,81.54,17.03,1,2964.0,3,6,27,0,58000,0.96,5,0
ord_000227,MG,SP,auto,134.01,53.32,1,914.0,5,3,22,0,32000,0.85,4,0
ord_000228,RS,CE,furniture_decor,69.61,22.78,3,1502.0,2,2,18,0,41000,0.85,5,0
ord_000229,SP,PR,bed_bath_table,192.75,37.81,1,1100.0,2,11,3,1,58000,0.96,3,0
ord_000230,SP,SP,toys,38.41,6.52,1,58.0,5,5,17,0,58000,0.96,2,0
ord_000231,RJ,SP,computers_accessories,161.07,9.7,2,3128.0,1,5,21,0,46000,0.97,5,0
ord_000232,PA,PE,bed_bath_table,131.04,14.01,1,1199.0,5,7,23,0,19000,0.68,5,0
ord_000233,RS,RS,sports_leisure,32.26,4.34,3,222.0,3,3,27,0,41000,0.85,5,0
ord_000234,CE,GO,bed_bath_table,75.82,12.02,1,2731.0,2,2,25,0,18000,0.75,4,0
ord_000235,DF,SP,auto,35.87,47.11,3,1052.0,6,7,3,1,88000,0.97,5,0
ord_000236,RJ,PE,garden_tools,339.4,90.17,2,2541.0,1,11,10,0,46000,0.97,4,0
ord_000237,BA,MG,auto,87.79,56.47,2,3166.0,5,11,3,1,21000,0.72,5,1
ord_000238,SP,PR,health_beauty,67.93,8.21,3,3067.0,3,3,4,1,58000,0.96,1,1
ord_000239,SP,RJ,garden_tools,18.15,22.13,1,2057.0,1,11,29,0,58000,0.96,5,0
ord_000240,DF,SP,housewares,125.54,18.05,2,740.0,4,5,12,0,88000,0.97,1,1
ord_000241,BA,CE,sports_leisure,74.59,10.45,1,646.0,6,10,29,0,21000,0.72,5,0
ord_000242,SP,MA,watches_gifts,159.7,37.28,3,1074.0,1,4,29,0,58000,0.96,4,0
ord_000243,MG,RJ,auto,273.11,54.57,1,2044.0,3,4,14,0,32000,0.85,4,0
ord_000244,RS,CE,computers_accessories,175.73,17.34,1,1420.0,4,6,17,0,41000,0.85,4,0
ord_000245,ES,SP,bed_bath_table,41.46,3.93,2,2327.0,2,10,4,1,30000,0.83,4,0
ord_000246,RS,SP,garden_tools,68.59,37.69,1,2585.0,1,5,6,0,41000,0.85,4,0
ord_000247,RJ,SP,health_beauty,29.4,5.83,3,823.0,2,11,19,0,46000,0.97,5,0
ord_000248,RJ,RJ,health_beauty,55.57,5.76,1,41.0,2,11,26,0,46000,0.97,5,0
ord_000249,RJ,SP,watches_gifts,199.96,41.51,2,476.0,4,11,15,0,46000,0.97,2,0
ord_000250,PR,RJ,toys,59.18,9.47,1,1068.0,4,3,6,0,43000,0.85,3,0
ord_000251,ES,SP,toys,160.92,30.95,3,2663.0,4,8,11,0,30000,0.83,5,0
ord_000252,RJ,SC,garden_tools,65.23,27.52,1,833.0,2,4,17,0,46000,0.97,5,0
ord_000253,SP,DF,garden_tools,173.26,44.88,1,938.0,5,7,21,0,58000,0.96,5,0
ord_000254,SP,PR,health_beauty,40.58,5.42,2,3129.0,3,2,2,1,58000,0.96,4,0
ord_000255,SC,SP,furniture_decor,33.83,30.81,2,2946.0,6,11,7,0,44000,0.84,4,0
ord_000256,DF,BA,toys,337.38,51.02,1,2657.0,2,5,5,1,88000,0.97,5,0
ord_000257,SP,SP,furniture_decor,44.19,29.14,1,167.0,5,7,23,0,58000,0.96,4,0
ord_000258,SP,BA,toys,203.46,47.16,1,1040.0,3,4,8,0,58000,0.96,4,0
ord_000259,RS,MG,computers_accessories,142.35,24.04,2,982.0,1,3,19,0,41000,0.85,4,0
ord_000260,SP,RJ,computers_accessories,53.77,5.12,1,848.0,0,3,3,1,58000,0.96,5,0
ord_000261,DF,SP,bed_bath_table,54.36,5.93,1,3114.0,0,6,3,1,88000,0.97,2,1
ord_000262,SP,DF,watches_gifts,78.1,18.05,1,781.0,3,10,3,1,58000,0.96,5,0
ord_000263,SP,CE,garden_tools,206.44,59.87,2,2465.0,3,11,12,0,58000,0.96,4,1
ord_000264,PE,PR,garden_tools,67.42,19.76,1,448.0,4,4,0,1,20000,0.8,1,1
ord_000265,SP,PA,furniture_decor,160.18,62.87,3,1877.0,1,1,15,0,58000,0.96,5,0
ord_000266,SP,CE,watches_gifts,130.01,7.19,2,505.0,1,3,8,0,58000,0.96,5,0
